Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,1,0.0,0,2
3,1,3.0,2,0.0,0,3
100,1,94.0,66,0.0,6,94
200,1,179.0,133,0.0,21,179
2000,1,1771.0,419,0.0,229,1771
10000,1,8933.0,421,0.0,1067,8933
20000,1,17816.0,421,0.0,2184,17816
40000,1,35634.0,421,0.0,4366,35634
60000,1,53426.0,421,0.0,6574,53426
80000,1,71203.0,421,0.0,8797,71203
200000,1,177935.0,421,0.0,22065,177935
400000,1,356037.0,421,0.0,43963,356037
600000,1,534216.0,421,0.0,65784,534216
800000,1,712125.0,421,0.0,87875,712125
1000000,1,889859.0,421,0.0,110141,889859
2,2,2.0,1,0.0,0,2
3,2,3.0,2,0.0,0,3
100,2,88.0,66,0.0,12,88
200,2,171.0,133,0.0,29,171
2000,2,1792.0,402,0.0,208,1792
10000,2,8914.0,402,0.0,1086,8914
20000,2,17843.0,402,0.0,2157,17843
40000,2,35609.0,402,0.0,4391,35609
60000,2,53413.0,402,0.0,6587,53413
80000,2,71377.0,402,0.0,8623,71377
200000,2,178165.0,402,0.0,21835,178165
400000,2,356181.0,402,0.0,43819,356181
600000,2,534255.0,402,0.0,65745,534255
800000,2,712189.0,402,0.0,87811,712189
1000000,2,890225.0,402,0.0,109775,890225
2,3,1.0,1,0.0,1,1
3,3,2.0,2,0.0,1,2
100,3,93.0,66,0.0,7,93
200,3,188.0,133,0.0,12,188
2000,3,1796.0,1414,0.0,204,1796
10000,3,8986.0,8446,0.0,1014,8986
20000,3,17903.0,15650,0.0,2097,17903
40000,3,35650.0,20199,0.0,4350,35650
60000,3,53424.0,20328,0.0,6576,53424
80000,3,71226.0,39267,0.0,8774,71226
200000,3,178066.0,148750,0.0,21934,178066
400000,3,356149.0,348750,0.0,43851,356149
600000,3,533912.0,548750,0.0,66088,533912
800000,3,711993.0,748750,0.0,88007,711993
1000000,3,890071.0,948750,0.0,109929,890071
2,4,2.0,1,0.0,0,2
3,4,3.0,2,0.0,0,3
100,4,83.0,66,0.0,17,83
200,4,170.0,133,0.0,30,170
2000,4,1766.0,213,0.0,234,1766
10000,4,8824.0,213,0.0,1176,8824
20000,4,17775.0,213,0.0,2225,17775
40000,4,35625.0,213,0.0,4375,35625
60000,4,53365.0,213,0.0,6635,53365
80000,4,71149.0,213,0.0,8851,71149
200000,4,177991.0,213,0.0,22009,177991
400000,4,355947.0,213,0.0,44053,355947
600000,4,533924.0,213,0.0,66076,533924
800000,4,712028.0,213,0.0,87972,712028
1000000,4,890085.0,213,0.0,109915,890085
2,5,2.0,1,0.0,0,2
3,5,2.0,2,0.0,1,2
100,5,86.0,66,0.0,14,86
200,5,178.0,133,0.0,22,178
