Timestep,Iteration,Total Reward,Suboptimal Arms,Total Regret,Zeros Count,Ones Count
2,1,2.0,0,0.0,0,2
3,1,3.0,0,0.0,0,3
100,1,91.0,3,0.6,9,91
2,2,2.0,2,0.4,0,2
3,2,2.0,3,0.6,1,2
100,2,79.0,97,10.1,21,79
2,3,2.0,0,0.0,0,2
3,3,3.0,0,0.0,0,3
100,3,85.0,4,0.8,15,85
2,4,2.0,0,0.0,0,2
3,4,2.0,0,0.0,1,2
100,4,89.0,5,1.0,11,89
2,5,2.0,0,0.0,0,2
3,5,3.0,0,0.0,0,3
100,5,87.0,2,0.4,13,87
2,6,2.0,0,0.0,0,2
3,6,2.0,0,0.0,1,2
100,6,94.0,0,0.0,6,94
2,7,1.0,0,0.0,1,1
3,7,2.0,0,0.0,1,2
100,7,85.0,6,1.0,15,85
2,8,2.0,0,0.0,0,2
3,8,3.0,0,0.0,0,3
100,8,90.0,4,0.7,10,90
2,9,1.0,0,0.0,1,1
3,9,2.0,0,0.0,1,2
100,9,85.0,3,0.6,15,85
2,10,2.0,0,0.0,0,2
3,10,3.0,0,0.0,0,3
100,10,86.0,6,0.9,14,86
2,11,2.0,0,0.0,0,2
3,11,3.0,0,0.0,0,3
100,11,86.0,8,1.1,14,86
2,12,2.0,0,0.0,0,2
3,12,3.0,0,0.0,0,3
100,12,88.0,4,0.7,12,88
2,13,2.0,0,0.0,0,2
3,13,3.0,0,0.0,0,3
100,13,94.0,4,0.8,6,94
2,14,2.0,0,0.0,0,2
3,14,3.0,0,0.0,0,3
100,14,87.0,6,0.6,13,87
2,15,2.0,0,0.0,0,2
3,15,3.0,0,0.0,0,3
100,15,85.0,7,1.0,15,85
2,16,2.0,0,0.0,0,2
3,16,2.0,0,0.0,1,2
100,16,86.0,6,1.0,14,86
2,17,2.0,0,0.0,0,2
3,17,3.0,0,0.0,0,3
100,17,91.0,9,1.7,9,91
2,18,2.0,2,0.2,0,2
3,18,3.0,3,0.3,0,3
100,18,82.0,77,7.9,18,82
2,19,1.0,0,0.0,1,1
3,19,2.0,0,0.0,1,2
100,19,87.0,7,1.3,13,87
2,20,2.0,0,0.0,0,2
3,20,3.0,0,0.0,0,3
100,20,89.0,6,0.8,11,89
2,21,2.0,0,0.0,0,2
3,21,3.0,1,0.2,0,3
100,21,82.0,52,5.7,18,82
2,22,2.0,0,0.0,0,2
3,22,3.0,0,0.0,0,3
100,22,93.0,6,0.6,7,93
2,23,1.0,1,0.1,1,1
3,23,2.0,1,0.1,1,2
100,23,92.0,8,1.4,8,92
2,24,2.0,0,0.0,0,2
3,24,3.0,0,0.0,0,3
100,24,82.0,3,0.6,18,82
2,25,2.0,0,0.0,0,2
3,25,2.0,0,0.0,1,2
100,25,83.0,17,2.9,17,83
2,26,2.0,0,0.0,0,2
3,26,3.0,0,0.0,0,3
100,26,84.0,19,3.2,16,84
2,27,1.0,0,0.0,1,1
3,27,1.0,0,0.0,2,1
100,27,81.0,12,2.4,19,81
2,28,2.0,0,0.0,0,2
3,28,3.0,0,0.0,0,3
100,28,90.0,6,0.7,10,90
2,29,2.0,0,0.0,0,2
3,29,3.0,0,0.0,0,3
100,29,95.0,5,0.5,5,95
2,30,2.0,0,0.0,0,2
3,30,3.0,0,0.0,0,3
100,30,90.0,16,2.5,10,90
2,31,2.0,0,0.0,0,2
3,31,3.0,0,0.0,0,3
100,31,82.0,3,0.5,18,82
2,32,2.0,0,0.0,0,2
3,32,3.0,0,0.0,0,3
100,32,86.0,6,1.0,14,86
2,33,2.0,0,0.0,0,2
3,33,3.0,0,0.0,0,3
100,33,86.0,6,0.9,14,86
2,34,2.0,0,0.0,0,2
3,34,2.0,0,0.0,1,2
100,34,80.0,7,1.0,20,80
2,35,2.0,0,0.0,0,2
3,35,3.0,0,0.0,0,3
